Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"FOXS1"	"9.667"	"ARCHS4 Coexpression,12;Enrichr Queries,12;GTEx Coexpression,5"	"FOXC2,NRP1,FOXC1,PRDM6,ITGB3,WFDC1,THBS2,PTGS2,PRSS23,COX7A1,ADAMTS5,FRZB,ADAMTS1,ANKRD1,LRIG1,FAM180A,HAS2,IGFBP7,VSTM4,GUCY1A2,EDN1,JAG1,PTGIS,FOXF2,SERPINF1,IGFBP2,ITGA1,SULF1,SOD3,GNG11,GEM,RCN3,SDK1,CXCL12,COL4A1,OGN,ITGA11,RHOJ,ADAM12,MFAP2,LINC01139,ITGA8,ITGBL1,SERPING1,ACKR3,CNTN4,FMOD,PCDHB8"
"gene_set_query"	"2"	"TBX18"	"12.0"	"ARCHS4 Coexpression,17;Enrichr Queries,7;GTEx Coexpression,12"	"FOXC2,NRP1,FOXC1,PRDM6,GPR63,PTGS2,THBS2,PRSS23,ADAMTS5,CCND2,FRZB,ADAMTS1,LRIG1,HAS2,IGFBP7,LRIG3,EDIL3,ADAMTS6,JAG1,PTGIS,ANGPT1,FOXF2,SERPINF1,ITGA1,GFRA1,SULF1,SOD3,RCN3,CXCL12,COL4A1,OGN,MFAP2,ADAM12,ITGA11,LINC01139,FIBIN,ITGA8,ITGBL1,CNTN4,FMOD,MXRA5,PCDHB8"
"gene_set_query"	"3"	"AEBP1"	"19.0"	"ARCHS4 Coexpression,37;GTEx Coexpression,1"	"FOXC2,FOXC1,PRDM6,ITGB3,THBS2,PRSS23,FRZB,FAM180A,CYTL1,IGFBP7,JAG1,PTGIS,IGFBP2,PCDHB13,SULF1,SOD3,GEM,RCN3,FNDC1,OGN,ITGA11,MFAP2,ITGA8,ITGBL1,SERPING1,CNTN4,FMOD,MXRA5,PCDHB8"
"gene_set_query"	"4"	"PRDM6"	"20.0"	"ARCHS4 Coexpression,51;Enrichr Queries,2;GTEx Coexpression,7"	"ROBO2,NRP1,TENM4,ITGB3,CCDC125,TCF21,PRSS23,AMOT,ADAMTS5,NHSL2,HEPH,PGM5,NCKAP5,EDIL3,MYOCD,PTGIS,SEMA6A,IGFBP2,GFRA1,GEM,COL4A1,ADAM12,ITGA8,FIBIN,FOXC2,FOXC1,PARM1,THBS2,FRZB,LRIG1,FAM180A,HAS2,IGFBP7,FOXF2,ANGPT1,SULF1,GDF6,SOD3,TBX4,SDK1,BMP2,CXCL12,OGN,ITGA11,ITGBL1,CNTN4,FMOD,PCDHB8,FGF10"
"gene_set_query"	"5"	"TWIST2"	"21.0"	"ARCHS4 Coexpression,16;GTEx Coexpression,26"	"CPM,LINC01111,THBS2,EDA2R,ADAMTS5,ADAMTS1,HAS2,FAM180A,DIRC1,ADAMTS6,PTGIS,OR1J4,PSG1,SULF1,GDF5,PRSS12,SOD3,RCN3,CXCL12,ADAM12,MFAP2,ITGA11,ITGBL1,KCNK2,MXRA5"
"gene_set_query"	"6"	"HEYL"	"22.0"	"ARCHS4 Coexpression,9;Enrichr Queries,43;GTEx Coexpression,14"	"FOXC2,NRP1,FOXC1,PARM1,PRDM6,THBS2,PRSS23,COX7A1,THSD1,ADAMTS5,CCND2,FRZB,ADAMTS1,LRIG1,ANKRD1,IGFBP7,PGM5,VSTM4,GUCY1A2,PTGIS,JAG1,SERPINF1,IGFBP2,ITGA1,PCDHB13,SULF1,SOD3,GEM,SDK1,FABP3,CXCL12,FNDC1,COL4A1,OGN,ITGA11,RHOJ,ADAM12,MFAP2,ITGA8,PCDHB5,SERPING1,ITGBL1,CNTN4,FMOD,PCDHB8"
"gene_set_query"	"7"	"OSR1"	"22.0"	"ARCHS4 Coexpression,29;GTEx Coexpression,15"	"FOXC2,FOXC1,PRDM6,ITGB3,TCF21,THBS2,PRSS23,FRZB,ADAMTS1,FAM180A,IGFBP7,MYOCD,PTGIS,ITGA1,SULF1,SOD3,GEM,RCN3,OGN,ITGA11,MFAP2,ITGA8,ITGBL1,CNTN4,FMOD,MXRA5"
"gene_set_query"	"8"	"EBF2"	"23.5"	"ARCHS4 Coexpression,5;GTEx Coexpression,42"	"NRP1,TENM4,TMTC2,FMN2,LCTL,RND2,CHRDL1,JAKMIP2,DLL4,MAP2,ITGB8,NEFM,TIMP4,SERPINF1,LRRC49,GFRA1,FRMD4A,GNG11,SDK1,CXCL12,PCDHB2,LRRN4CL,TMSB15A,DOK5,MAB21L1,RHOJ,FIBIN,SERPING1,ACKR3,LRRN1,ADGRL4,TMEM35A,ADGRL3"
"gene_set_query"	"9"	"MEOX2"	"26.0"	"ARCHS4 Coexpression,6;Enrichr Queries,4;GTEx Coexpression,68"	"NRP1,FOXC1,PRDM6,TMTC2,LCTL,PTGS2,THBS2,CHRDL1,THSD1,DLL4,ADAMTS5,CCND2,FRZB,ADAMTS1,ENPP2,LRIG1,IGFBP7,IL13RA2,TIMP4,ANKRD29,PTGIS,ANGPT1,SERPINF1,ITGA1,FMO2,SULF1,SYTL5,GNG11,SOD3,GEM,BMP2,CXCL12,FABP4,FNDC1,COL4A1,RHOJ,KIT,ADAM12,OGN,FIBIN,SERPING1,ACKR3,ITGBL1,ADGRL4,FMOD,MXRA5"
"gene_set_query"	"10"	"PRRX2"	"26.33"	"ARCHS4 Coexpression,55;Enrichr Queries,8;GTEx Coexpression,16"	"FOXC2,NRP1,FOXC1,CRABP2,PRDM6,ITGB3,THBS2,PTGS2,PRSS23,EDA2R,FRZB,MDK,ADAMTS1,ANKRD1,LRIG1,FAM180A,HAS2,IGFBP7,JAG1,PTGIS,ANGPT1,SERPINF1,IGFBP2,SULF1,SOD3,GNG11,GEM,RCN3,BMP2,CXCL12,COL4A1,ITGA11,MFAP2,ADAM12,ITGA8,ITGBL1,SERPING1,ACKR3,FMOD,MXRA5,KCNK2"
