Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"RFX8"	"18.5"	"ARCHS4 Coexpression,10;GTEx Coexpression,27"	"SRGN,SEMA7A,TRPA1,MIR221,HGF,ADAM12,XYLT1"
"gene_set_query"	"2"	"POU3F2"	"48.0"	"Literature ChIP-seq,4;ARCHS4 Coexpression,3;Enrichr Queries,41;GTEx Coexpression,144"	"COLEC10,MANBA,TRPA1,DCC,DTX4,ANO4,CCDC102B,EREG,CACNG7,GAP43,ZEB2,SALL1,NFIB,KLRF1,TRIM55"
"gene_set_query"	"3"	"TCF21"	"51.25"	"Literature ChIP-seq,27;ARCHS4 Coexpression,4;Enrichr Queries,54;GTEx Coexpression,120"	"CEMIP,VCAM1,TRPA1,ANXA3,HGF,VWA5A,PEAR1,CCDC102B,CYGB,ZEB2,ARHGAP20,ADAM12,CYP1B1,TRIM55"
"gene_set_query"	"4"	"ZNF469"	"52.5"	"ARCHS4 Coexpression,104;GTEx Coexpression,1"	"CEMIP,MIR221,TRPA1,ADAM12,XYLT1,ANO4,ULBP1"
"gene_set_query"	"5"	"SOX1"	"59.0"	"ARCHS4 Coexpression,64;Enrichr Queries,21;GTEx Coexpression,92"	"CACNG7,GAP43,ZEB2,SALL1,DCC,NFIB,DTX4"
"gene_set_query"	"6"	"SOX2"	"63.2"	"Literature ChIP-seq,7;ARCHS4 Coexpression,73;Enrichr Queries,55;ReMap ChIP-seq,35;GTEx Coexpression,146"	"NTNG1,CEMIP,COLEC10,SEMA7A,DCC,HGF,XYLT1,DTX4,SGCZ,CCDC102B,CACNG7,ZEB2,GAP43,SALL1,NFIB,GAPLINC,CYP1B1,ADAMTS9,CPEB2"
"gene_set_query"	"7"	"LTF"	"70.0"	"ARCHS4 Coexpression,65;GTEx Coexpression,75"	"SRGN,ANXA3,KLRF1,MMP8"
"gene_set_query"	"8"	"LHX1"	"70.5"	"ARCHS4 Coexpression,42;Enrichr Queries,99"	"CACNG7,ZEB2,GAP43,SALL1,NFIB,DCC,CYP1B1"
"gene_set_query"	"9"	"HMGA2"	"72.0"	"ARCHS4 Coexpression,138;Enrichr Queries,74;GTEx Coexpression,4"	"ZEB2,SALL1,TRPA1,MIR221,MMP1,NFIB,ADAM12,CYP1B1,ULBP1,EREG"
"gene_set_query"	"10"	"EBF3"	"73.0"	"ARCHS4 Coexpression,52;Enrichr Queries,161;GTEx Coexpression,6"	"CACNG7,ARHGAP20,ZEB2,GAP43,NFIB,DCC,ADAM12,CYP1B1,ABCC9,PEAR1,CYGB"
"gene_set_query"	"11"	"GBX2"	"75.0"	"Literature ChIP-seq,29;ARCHS4 Coexpression,76;Enrichr Queries,32;GTEx Coexpression,163"	"NTNG1,CACNG7,GAP43,ZEB2,SALL1,NFIB,CYP1B1,XYLT1,DTX4"
"gene_set_query"	"12"	"GLIS1"	"77.67"	"ARCHS4 Coexpression,112;Enrichr Queries,97;GTEx Coexpression,24"	"ZEB2,CEMIP,MIR221,NFIB,ADAM12,CYP1B1,ULBP1,TRIM55"
"gene_set_query"	"13"	"AHR"	"78.8"	"Literature ChIP-seq,5;ARCHS4 Coexpression,61;Enrichr Queries,76;ReMap ChIP-seq,125;GTEx Coexpression,127"	"SRGN,ZEB2,CEMIP,VCAM1,ANXA3,ADAM12,CYP1B1,PEAR1,ANO4,ADAMTS9,CYGB,TRIM55"
"gene_set_query"	"14"	"POU3F3"	"79.0"	"ARCHS4 Coexpression,35;Enrichr Queries,5;GTEx Coexpression,197"	"CACNG7,GAP43,ZEB2,SALL1,DCC,NFIB,CYP1B1,DTX4"
"gene_set_query"	"15"	"MEOX2"	"83.67"	"ARCHS4 Coexpression,215;Enrichr Queries,3;GTEx Coexpression,33"	"ZEB2,VCAM1,NFIB,ADAM12,CYP1B1,ABCC9,PEAR1,ADAMTS9,CYGB"
